geo,country,year,education,fertility,population
lso,Lesotho,1972,2.6,5.69,1094063.0
ltu,Lithuania,1972,5.3,2.35,3204905.0
lux,Luxembourg,1972,5.8,1.75,346072.0
lva,Latvia,1972,6.5,2.01,2395874.0
mar,Morocco,1972,0.3,6.55,15924692.0
mda,Moldova,1972,5.9,2.56,3713997.0
mdg,Madagascar,1972,0.9,7.04,7074398.0
mdv,Maldives,1972,2.1,7.37,130968.0
mex,Mexico,1972,2.7,6.28,54030168.0
mhl,Marshall Islands,1972,2.9,8.0,23992.0
mkd,North Macedonia,1972,4.1,2.87,1717395.0
mli,Mali,1972,0.1,7.22,6483726.0
mmr,Myanmar,1972,1.4,5.53,28428324.0
mne,Montenegro,1972,5.1,2.61,540698.0
mng,Mongolia,1972,4.0,7.28,1366821.0
moz,Mozambique,1972,0.3,6.7,8692935.0
mrt,Mauritania,1972,0.2,6.71,1168355.0
mus,Mauritius,1972,1.6,3.41,853604.0
mwi,Malawi,1972,0.6,7.33,4874475.0
mys,Malaysia,1972,1.7,4.82,10676835.0
nam,Namibia,1972,1.7,6.53,804399.0
ner,Niger,1972,0.1,7.52,4904845.0
nga,Nigeria,1972,0.6,6.58,58601748.0
nic,Nicaragua,1972,2.0,6.65,2573578.0
nld,Netherlands,1972,6.5,2.15,13342772.0
nor,Norway,1972,6.6,2.39,3932909.0
npl,Nepal,1972,0.1,5.8,12989099.0
nzl,New Zealand,1972,6.8,3.0,2919258.0
omn,Oman,1972,0.6,7.59,700593.0
pak,Pakistan,1972,0.3,6.81,63583194.0
pan,Panama,1972,5.0,4.91,1599723.0
per,Peru,1972,3.1,6.09,14210147.0
phl,Philippines,1972,4.7,5.94,39408560.0
png,Papua New Guinea,1972,0.6,6.2,2628432.0
pol,Poland,1972,7.6,2.24,33041996.0
prt,Portugal,1972,2.4,2.86,8815597.0
pry,Paraguay,1972,3.1,5.46,2499881.0
pse,Palestine,1972,1.6,7.59,1164750.0
qat,Qatar,1972,1.7,6.07,146506.0
rou,Romania,1972,6.0,2.48,20555576.0
rus,Russia,1972,6.1,2.07,131726419.0
rwa,Rwanda,1972,0.4,8.09,4220335.0
sau,Saudi Arabia,1972,0.6,7.54,3905722.0
sdn,Sudan,1972,0.4,6.98,12527856.0
sen,Senegal,1972,0.3,7.26,4741631.0
sgp,Singapore,1972,2.4,3.03,2164334.0
slb,Solomon Islands,1972,1.0,6.99,184994.0
sle,Sierra Leone,1972,0.3,6.45,2814388.0
slv,El Salvador,1972,2.5,6.03,3846830.0
som,Somalia,1972,0.1,7.12,3939436.0
srb,Serbia,1972,4.5,1.95,7424739.0
stp,Sao Tome and Principe,1972,0.8,6.51,81041.0
sur,Suriname,1972,3.1,5.18,397413.0
svk,Slovak Republic,1972,4.9,2.48,4599800.0
svn,Slovenia,1972,4.4,2.17,1768217.0
swe,Sweden,1972,7.4,1.91,8122425.0
swz,Eswatini,1972,1.5,6.72,465788.0
syc,Seychelles,1972,3.9,5.16,56889.0
syr,Syria,1972,0.7,7.57,6826024.0
tcd,Chad,1972,0.1,6.85,3893252.0
tgo,Togo,1972,0.3,7.07,2384994.0
tha,Thailand,1972,2.9,5.08,37933929.0
tjk,Tajikistan,1972,4.5,6.89,3123691.0
tkm,Turkmenistan,1972,4.9,6.2,2311430.0
tls,Timor-Leste,1972,0.2,5.49,572962.0
ton,Tonga,1972,5.1,5.86,87356.0
tto,Trinidad and Tobago,1972,5.0,3.55,1014921.0
tun,Tunisia,1972,0.5,6.19,5396557.0
tur,Turkey,1972,1.3,5.55,38430221.0
tza,Tanzania,1972,0.7,7.05,14479308.0
uga,Uganda,1972,0.7,7.19,10885796.0
ukr,Ukraine,1972,7.1,2.13,47946893.0
ury,Uruguay,1972,5.4,2.78,2821644.0
usa,USA,1972,11.2,2.06,212842573.0
uzb,Uzbekistan,1972,5.3,6.25,12465106.0
ven,Venezuela,1972,3.2,5.04,12099180.0
vnm,Vietnam,1972,2.8,6.1,43429168.0
vut,Vanuatu,1972,1.7,6.23,91562.0
wsm,Samoa,1972,4.7,7.07,144538.0
yem,Yemen,1972,0.1,8.27,7460068.0
zaf,South Africa,1972,2.8,5.49,23609456.0
zmb,Zambia,1972,1.2,7.3,4569309.0
zwe,Zimbabwe,1972,1.6,6.94,5542445.0
afg,Afghanistan,1973,0.1,7.49,12157999.0
ago,Angola,1973,0.5,7.5,6388528.0
alb,Albania,1973,4.2,4.83,2344105.0
are,UAE,1973,1.8,6.46,436399.0
arg,Argentina,1973,5.9,3.17,25046005.0
arm,Armenia,1973,6.3,3.08,2630860.0
atg,Antigua and Barbuda,1973,7.4,3.13,64342.0
aus,Australia,1973,8.7,2.49,13518685.0
aut,Austria,1973,7.5,1.93,7585105.0
aze,Azerbaijan,1973,5.0,4.43,5476609.0
bdi,Burundi,1973,0.3,7.22,3611991.0
bel,Belgium,1973,7.1,1.95,9718035.0
ben,Benin,1973,0.3,6.81,3283496.0
bfa,Burkina Faso,1973,0.1,6.77,5911927.0
bgd,Bangladesh,1973,0.6,6.8,73722294.0
bgr,Bulgaria,1973,6.8,2.15,8624800.0
bhr,Bahrain,1973,1.4,5.97,255320.0
bhs,Bahamas,1973,6.6,3.73,200791.0
